longueur,orateur,X
815,MODERATOR,0
329,CLINTON,815
55,MODERATOR,1144
291,TRUMP,1199
227,MODERATOR,1490
235,CLINTON,1717
72,MODERATOR,1952
70,TRUMP,2024
11,MODERATOR,2094
142,CLINTON,2105
34,MODERATOR,2247
150,TRUMP,2281
33,MODERATOR,2431
1,TRUMP,2464
40,MODERATOR,2465
28,TRUMP,2505
9,MODERATOR,2533
11,TRUMP,2542
40,MODERATOR,2553
56,TRUMP,2593
2,MODERATOR,2649
142,CLINTON,2651
2,MODERATOR,2793
46,CLINTON,2795
54,MODERATOR,2841
153,CLINTON,2895
13,MODERATOR,3048
102,TRUMP,3061
155,CLINTON,3163
13,MODERATOR,3318
29,TRUMP,3331
122,MODERATOR,3360
395,TRUMP,3482
20,MODERATOR,3877
360,CLINTON,3897
9,MODERATOR,4257
4,TRUMP,4266
1,MODERATOR,4270
95,TRUMP,4271
9,MODERATOR,4366
14,TRUMP,4375
7,MODERATOR,4389
8,TRUMP,4396
12,MODERATOR,4404
8,CLINTON,4416
3,TRUMP,4424
171,CLINTON,4427
2,MODERATOR,4598
169,TRUMP,4600
3,MODERATOR,4769
21,TRUMP,4772
5,MODERATOR,4793
8,CLINTON,4798
5,MODERATOR,4806
5,CLINTON,4811
2,MODERATOR,4816
24,CLINTON,4818
6,MODERATOR,4842
13,CLINTON,4848
59,MODERATOR,4861
2,TRUMP,4920
12,MODERATOR,4922
301,CLINTON,4934
1,MODERATOR,5235
21,TRUMP,5236
38,MODERATOR,5257
7,TRUMP,5295
1,MODERATOR,5302
178,TRUMP,5303
2,MODERATOR,5481
11,TRUMP,5483
14,CLINTON,5494
4,TRUMP,5508
4,CLINTON,5512
3,TRUMP,5516
6,CLINTON,5519
4,TRUMP,5525
127,CLINTON,5529
2,MODERATOR,5656
9,CLINTON,5658
11,TRUMP,5667
5,CLINTON,5678
4,TRUMP,5683
4,CLINTON,5687
5,TRUMP,5691
11,CLINTON,5696
6,TRUMP,5707
2,CLINTON,5713
7,TRUMP,5715
25,CLINTON,5722
15,TRUMP,5747
2,MODERATOR,5762
8,TRUMP,5764
3,MODERATOR,5772
8,TRUMP,5775
7,MODERATOR,5783
3,TRUMP,5790
48,MODERATOR,5793
5,TRUMP,5841
4,MODERATOR,5846
16,TRUMP,5850
9,MODERATOR,5866
133,TRUMP,5875
21,MODERATOR,6008
5,TRUMP,6029
29,CLINTON,6034
1,TRUMP,6063
109,CLINTON,6064
4,TRUMP,6173
2,MODERATOR,6177
87,TRUMP,6179
1,MODERATOR,6266
18,TRUMP,6267
9,CLINTON,6285
12,TRUMP,6294
21,CLINTON,6306
3,TRUMP,6327
5,CLINTON,6330
10,TRUMP,6335
69,CLINTON,6345
82,MODERATOR,6414
1,TRUMP,6496
48,MODERATOR,6497
411,CLINTON,6545
17,MODERATOR,6956
959,TRUMP,6973
3,MODERATOR,7932
17,TRUMP,7935
2,MODERATOR,7952
11,TRUMP,7954
10,CLINTON,7965
2,TRUMP,7975
199,CLINTON,7977
1,MODERATOR,8176
19,CLINTON,8177
32,MODERATOR,8196
1,TRUMP,8228
46,MODERATOR,8229
208,CLINTON,8275
31,MODERATOR,8483
4,TRUMP,8514
36,MODERATOR,8518
322,TRUMP,8554
24,MODERATOR,8876
8,TRUMP,8900
8,MODERATOR,8908
174,CLINTON,8916
2,MODERATOR,9090
12,CLINTON,9092
10,TRUMP,9104
52,CLINTON,9114
6,MODERATOR,9166
26,TRUMP,9172
3,CLINTON,9198
151,TRUMP,9201
250,CLINTON,9352
4,TRUMP,9602
73,CLINTON,9606
206,TRUMP,9679
149,MODERATOR,9885
267,TRUMP,10034
1,CLINTON,10301
2,MODERATOR,10302
71,CLINTON,10304
10,TRUMP,10375
7,CLINTON,10385
11,MODERATOR,10392
5,TRUMP,10403
4,MODERATOR,10408
205,CLINTON,10412
2,MODERATOR,10617
15,TRUMP,10619
2,MODERATOR,10634
171,TRUMP,10636
2,MODERATOR,10807
67,CLINTON,10809
1,TRUMP,10876
164,CLINTON,10877
18,TRUMP,11041
3,MODERATOR,11059
24,TRUMP,11062
1,MODERATOR,11086
10,TRUMP,11087
141,MODERATOR,11097
124,CLINTON,11238
2,MODERATOR,11362
13,CLINTON,11364
11,MODERATOR,11377
8,CLINTON,11388
16,MODERATOR,11396
16,CLINTON,11412
7,TRUMP,11428
4,MODERATOR,11435
11,CLINTON,11439
5,TRUMP,11450
6,CLINTON,11455
6,MODERATOR,11461
12,TRUMP,11467
6,MODERATOR,11479
156,TRUMP,11485
2,MODERATOR,11641
169,CLINTON,11643
2,MODERATOR,11812
10,CLINTON,11814
112,TRUMP,11824
11,MODERATOR,11936
33,TRUMP,11947
20,MODERATOR,11980
8,TRUMP,12000
7,MODERATOR,12008
34,TRUMP,12015
6,MODERATOR,12049
144,CLINTON,12055
2,MODERATOR,12199
62,TRUMP,12201
1,MODERATOR,12263
4,TRUMP,12264
5,MODERATOR,12268
12,TRUMP,12273
5,MODERATOR,12285
7,TRUMP,12290
4,MODERATOR,12297
22,TRUMP,12301
4,MODERATOR,12323
20,TRUMP,12327
3,CLINTON,12347
38,TRUMP,12350
4,CLINTON,12388
51,TRUMP,12392
2,MODERATOR,12443
13,TRUMP,12445
105,MODERATOR,12458
109,TRUMP,12563
3,MODERATOR,12672
126,TRUMP,12675
1,MODERATOR,12801
24,TRUMP,12802
96,MODERATOR,12826
18,TRUMP,12922
125,CLINTON,12940
5,TRUMP,13065
20,CLINTON,13070
1,MODERATOR,13090
68,CLINTON,13091
8,MODERATOR,13159
62,CLINTON,13167
41,TRUMP,13229
2,MODERATOR,13270
13,TRUMP,13272
119,MODERATOR,13285
331,CLINTON,13404
37,MODERATOR,13735
472,TRUMP,13772
6,MODERATOR,14244
11,TRUMP,14250
33,CLINTON,14261
1,TRUMP,14294
6,CLINTON,14295
1,TRUMP,14301
40,CLINTON,14302
1,TRUMP,14342
216,CLINTON,14343
5,TRUMP,14559
7,CLINTON,14564
5,TRUMP,14571
4,MODERATOR,14576
9,TRUMP,14580
12,CLINTON,14589
7,TRUMP,14601
9,MODERATOR,14608
3,CLINTON,14617
10,TRUMP,14620
6,MODERATOR,14630
10,CLINTON,14636
106,TRUMP,14646
15,CLINTON,14752
5,TRUMP,14767
30,CLINTON,14772
59,MODERATOR,14802
5,TRUMP,14861
5,MODERATOR,14866
4,TRUMP,14871
5,MODERATOR,14875
8,TRUMP,14880
1,MODERATOR,14888
7,TRUMP,14889
7,MODERATOR,14896
10,TRUMP,14903
15,MODERATOR,14913
7,TRUMP,14928
1,MODERATOR,14935
5,TRUMP,14936
60,MODERATOR,14941
295,TRUMP,15001
2,MODERATOR,15296
51,TRUMP,15298
136,MODERATOR,15349
356,CLINTON,15485
9,MODERATOR,15841
5,TRUMP,15850
2,MODERATOR,15855
28,TRUMP,15857
1,MODERATOR,15885
93,TRUMP,15886
116,MODERATOR,15979
348,TRUMP,16095
2,MODERATOR,16443
365,CLINTON,16445
10,TRUMP,16810
11,CLINTON,16820
4,TRUMP,16831
26,CLINTON,16835
1,MODERATOR,16861
7,TRUMP,16862
9,MODERATOR,16869
34,TRUMP,16878
1,MODERATOR,16912
9,TRUMP,16913
158,MODERATOR,16922
19,TRUMP,17080
8,MODERATOR,17099
163,TRUMP,17107
56,MODERATOR,17270
68,CLINTON,17326
4,TRUMP,17394
126,CLINTON,17398
5,TRUMP,17524
44,CLINTON,17529
118,MODERATOR,17573
173,CLINTON,17691
6,MODERATOR,17864
229,TRUMP,17870
