longueur,orateur,X
217,MODERATOR,0
328,CLINTON,217
10,MODERATOR,545
353,TRUMP,555
75,MODERATOR,908
198,TRUMP,983
3,MODERATOR,1181
14,TRUMP,1184
32,MODERATOR,1198
15,TRUMP,1230
10,MODERATOR,1245
24,TRUMP,1255
6,MODERATOR,1279
111,TRUMP,1285
4,MODERATOR,1396
13,TRUMP,1400
4,MODERATOR,1413
8,TRUMP,1417
7,MODERATOR,1425
358,CLINTON,1432
10,MODERATOR,1790
11,TRUMP,1800
6,MODERATOR,1811
134,TRUMP,1817
13,MODERATOR,1951
12,TRUMP,1964
11,MODERATOR,1976
2,TRUMP,1987
118,MODERATOR,1989
271,TRUMP,2107
12,MODERATOR,2378
276,CLINTON,2390
471,TRUMP,2666
27,MODERATOR,3137
13,CLINTON,3164
2,TRUMP,3177
4,CLINTON,3179
9,MODERATOR,3183
103,CLINTON,3192
6,TRUMP,3295
270,MODERATOR,3301
200,CLINTON,3571
6,MODERATOR,3771
222,TRUMP,3777
5,MODERATOR,3999
8,TRUMP,4004
29,MODERATOR,4012
24,TRUMP,4041
15,MODERATOR,4065
10,CLINTON,4080
5,TRUMP,4090
5,MODERATOR,4095
6,CLINTON,4100
3,TRUMP,4106
6,CLINTON,4109
7,TRUMP,4115
11,MODERATOR,4122
5,CLINTON,4133
6,TRUMP,4138
36,CLINTON,4144
4,TRUMP,4180
33,CLINTON,4184
4,TRUMP,4217
4,MODERATOR,4221
16,CLINTON,4225
16,MODERATOR,4241
20,TRUMP,4257
5,MODERATOR,4277
12,TRUMP,4282
5,MODERATOR,4294
53,TRUMP,4299
17,MODERATOR,4352
12,CLINTON,4369
8,TRUMP,4381
2,MODERATOR,4389
351,CLINTON,4391
6,MODERATOR,4742
17,CLINTON,4748
6,MODERATOR,4765
339,TRUMP,4771
4,MODERATOR,5110
13,TRUMP,5114
45,MODERATOR,5127
205,CLINTON,5172
2,MODERATOR,5377
24,CLINTON,5379
4,MODERATOR,5403
45,CLINTON,5407
8,MODERATOR,5452
42,TRUMP,5460
7,MODERATOR,5502
3,TRUMP,5509
40,MODERATOR,5512
11,TRUMP,5552
4,MODERATOR,5563
43,TRUMP,5567
16,MODERATOR,5610
153,TRUMP,5626
4,MODERATOR,5779
21,TRUMP,5783
149,MODERATOR,5804
254,TRUMP,5953
2,MODERATOR,6207
326,CLINTON,6209
80,MODERATOR,6535
87,TRUMP,6615
17,MODERATOR,6702
11,TRUMP,6719
2,MODERATOR,6730
5,TRUMP,6732
12,MODERATOR,6737
178,TRUMP,6749
46,MODERATOR,6927
298,CLINTON,6973
4,TRUMP,7271
2,CLINTON,7275
5,TRUMP,7277
9,CLINTON,7282
28,TRUMP,7291
16,MODERATOR,7319
11,TRUMP,7335
3,MODERATOR,7346
7,TRUMP,7349
3,MODERATOR,7356
222,TRUMP,7359
105,MODERATOR,7581
306,CLINTON,7686
13,MODERATOR,7992
8,CLINTON,8005
2,MODERATOR,8013
430,TRUMP,8015
109,MODERATOR,8445
436,TRUMP,8554
27,MODERATOR,8990
359,CLINTON,9017
3,MODERATOR,9376
25,CLINTON,9379
116,MODERATOR,9404
32,TRUMP,9520
8,MODERATOR,9552
165,TRUMP,9560
16,MODERATOR,9725
95,TRUMP,9741
3,MODERATOR,9836
74,TRUMP,9839
10,MODERATOR,9913
32,CLINTON,9923
10,TRUMP,9955
4,MODERATOR,9965
9,CLINTON,9969
2,TRUMP,9978
14,CLINTON,9980
38,TRUMP,9994
9,MODERATOR,10032
297,CLINTON,10041
3,MODERATOR,10338
14,CLINTON,10341
30,MODERATOR,10355
19,TRUMP,10385
15,MODERATOR,10404
13,TRUMP,10419
166,MODERATOR,10432
317,CLINTON,10598
6,MODERATOR,10915
18,TRUMP,10921
15,CLINTON,10939
9,TRUMP,10954
10,CLINTON,10963
349,TRUMP,10973
9,MODERATOR,11322
7,TRUMP,11331
5,MODERATOR,11338
33,TRUMP,11343
85,MODERATOR,11376
11,TRUMP,11461
6,MODERATOR,11472
105,TRUMP,11478
9,MODERATOR,11583
7,TRUMP,11592
9,MODERATOR,11599
153,TRUMP,11608
10,MODERATOR,11761
16,TRUMP,11771
8,MODERATOR,11787
63,TRUMP,11795
6,MODERATOR,11858
96,TRUMP,11864
61,MODERATOR,11960
90,CLINTON,12021
11,MODERATOR,12111
11,CLINTON,12122
1,TRUMP,12133
198,CLINTON,12134
9,MODERATOR,12332
26,TRUMP,12341
4,MODERATOR,12367
5,TRUMP,12371
45,MODERATOR,12376
357,TRUMP,12421
4,MODERATOR,12778
32,TRUMP,12782
9,MODERATOR,12814
7,TRUMP,12823
6,MODERATOR,12830
339,CLINTON,12836
4,MODERATOR,13175
20,CLINTON,13179
5,MODERATOR,13199
13,CLINTON,13204
78,MODERATOR,13217
130,CLINTON,13295
2,MODERATOR,13425
22,CLINTON,13427
3,MODERATOR,13449
17,TRUMP,13452
9,MODERATOR,13469
104,TRUMP,13478
7,MODERATOR,13582
24,TRUMP,13589
85,MODERATOR,13613
32,TRUMP,13698
4,MODERATOR,13730
45,TRUMP,13734
11,MODERATOR,13779
166,TRUMP,13790
13,MODERATOR,13956
1,CLINTON,13969
6,TRUMP,13970
161,CLINTON,13976
5,MODERATOR,14137
6,CLINTON,14142
5,MODERATOR,14148
5,CLINTON,14153
4,MODERATOR,14158
33,CLINTON,14162
17,MODERATOR,14195
7,TRUMP,14212
6,MODERATOR,14219
12,TRUMP,14225
80,MODERATOR,14237
412,CLINTON,14317
12,MODERATOR,14729
327,TRUMP,14741
1,CLINTON,15068
13,MODERATOR,15069
41,CLINTON,15082
19,MODERATOR,15123
11,CLINTON,15142
51,MODERATOR,15153
324,TRUMP,15204
6,MODERATOR,15528
4,TRUMP,15534
4,MODERATOR,15538
350,CLINTON,15542
2,MODERATOR,15892
16,CLINTON,15894
4,MODERATOR,15910
20,CLINTON,15914
243,MODERATOR,15934
254,CLINTON,16177
2,MODERATOR,16431
120,TRUMP,16433
